New York City; New York,"8,336,697"
Los Angeles; California,"3,857,799"
Chicago; Illinois,"2,714,856"
Houston; Texas,"2,160,821"
Philadelphia; Pennsylvania,"1,547,607"
Phoenix; Arizona,"1,488,750"
San Antonio; Texas,"1,382,951"
San Diego; California,"1,338,348"
Dallas; Texas,"1,241,162"
San Jose; California,"982,765"
Austin; Texas,"842,592"
Jacksonville; Florida,"836,507"
Indianapolis; Indiana,"834,852"
San Francisco; California,"825,863"
Columbus; Ohio,"809,798"
Fort Worth; Texas,"777,992"
Charlotte; North Carolina,"775,202"
Detroit; Michigan,"701,475"
El Paso; Texas,"672,538"
Memphis; Tennessee,"655,155"
Boston; Massachusetts,"636,479"
Seattle; Washington,"634,535"
Denver; Colorado,"634,265"
Washington; DC,"632,323"
Nashville-Davidson; Tennessee,"624,496"
Baltimore; Maryland,"621,342"
Louisville/Jefferson; Kentucky,"605,11"
Portland; Oregon,"603,106"
Oklahoma ; Oklahoma,"599,199"
Milwaukee; Wisconsin,"598,916"
Las Vegas; Nevada,"596,424"
Albuquerque; New Mexico,"555,417"
Tucson; Arizona,"524,295"
Fresno; California,"505,882"
Sacramento; California,"475,516"
Long Beach; California,"467,892"
Kansas ; Missouri,"464,31"
Mesa; Arizona,"452,084"
Virginia Beach; Virginia,"447,021"
Atlanta; Georgia,"443,775"
Colorado Springs; Colorado,"431,834"
Raleigh; North Carolina,"423,179"
Omaha; Nebraska,"421,57"
Miami; Florida,"413,892"
Oakland; California,"400,74"
Tulsa; Oklahoma,"393,987"
Minneapolis; Minnesota,"392,88"
Cleveland; Ohio,"390,928"
Wichita; Kansas,"385,577"
Arlington; Texas,"375,6"
New Orleans; Louisiana,"369,25"
Bakersfield; California,"358,597"
Tampa; Florida,"347,645"
Honolulu; Hawaii,"345,61"
Anaheim; California,"343,248"
Aurora; Colorado,"339,03"
Santa Ana; California,"330,92"
St. Louis; Missouri,"318,172"
Riverside; California,"313,673"
Corpus Christi; Texas,"312,195"
Pittsburgh; Pennsylvania,"306,211"
Lexington-Fayette; Kentucky,"305,489"
Stockton; California,"297,984"
Cincinnati; Ohio,"296,55"
St. Paul; Minnesota,"290,77"
Toledo; Ohio,"284,012"
Newark; New Jersey,"277,727"
Greensboro; North Carolina,"277,08"
Plano; Texas,"272,068"
Henderson; Nevada,"265,679"
Lincoln; Nebraska,"265,404"
Buffalo; New York,"259,384"
Fort Wayne; Indiana,"254,555"
Jersey ; New Jersey,"254,441"
Chula Vista; California,"252,422"
Orlando; Florida,"249,562"
St. Petersburg; Florida,"246,541"
Norfolk; Virginia,"245,782"
Chandler; Arizona,"245,628"
Laredo; Texas,"244,731"
Madison; Wisconsin,"240,323"
Durham; North Carolina,"239,358"
Lubbock; Texas,"236,065"
Winston-Salem; North Carolina,"234,349"
Garland; Texas,"233,564"
Glendale; Arizona,"232,143"
Hialeah; Florida,"231,941"
Reno; Nevada,"231,027"
Baton Rouge; Louisiana,"230,058"
Irvine; California,"229,985"
Chesapeake; Virginia,"228,417"
Irving; Texas,"225,427"
Scottsdale; Arizona,"223,514"
North Las Vegas; Nevada,"223,491"
Fremont; California,"221,986"
San Bernardino; California,"213,295"
Boise; Idaho,"212,303"
Birmingham; Alabama,"212,038"